domain,db_name,db_host,nid,platform_path
microgastrinae.myspecies.info,microgastrinae_0,157.140.2.153,1640.0,/var/aegir/platforms/scratchpads-2.10.1
cirripedia.myspecies.info,cirripediamyspec,157.140.2.171,2463.0,/var/aegir/platforms/scratchpads-2.10.1
africanmoss.myspecies.info,africanmossmys_1,157.140.2.164,4234.0,/var/aegir/platforms/scratchpads-2.10.1
forests.myspecies.info,forestsmyspeci_0,157.140.2.153,32338.0,/var/aegir/platforms/scratchpads-2.10.1
terrslugs.myspecies.info,terrslugsmyspe_0,157.140.2.171,3485.0,/var/aegir/platforms/scratchpads-2.10.1
paederinae.myspecies.info,paederinaemyspec,157.140.2.171,1412.0,/var/aegir/platforms/scratchpads-2.10.1
freshbase.info,freshbaseinfo,157.140.2.153,5035.0,/var/aegir/platforms/scratchpads-2.10.1
training.myspecies.info,trainingmyspec_0,157.140.2.153,12938.0,/var/aegir/platforms/scratchpads-2.10.1
eflower.myspecies.info,eflowermyspecies,157.140.2.164,3729.0,/var/aegir/platforms/scratchpads-2.10.1
africhthy.org,africhthyorg,157.140.2.164,2135.0,/var/aegir/platforms/scratchpads-2.10.1
aconitum.myspecies.info.x,aconitummyspec_0,157.140.2.164,,
africanpalms.myspecies.info,africanpalmsmysp,157.140.2.171,4370.0,/var/aegir/platforms/scratchpads-2.10.1
avesamericanas.myspecies.info,avesamericanasmy,157.140.2.153,3821.0,/var/aegir/platforms/scratchpads-2.10.1
sapotaceae-sangha-tri-national-area.myspecies.info,sapotaceaesang_0,157.140.2.171,1111.0,/var/aegir/platforms/scratchpads-2.10.1
eunops.org,eunopsorg,157.140.2.153,2925.0,/var/aegir/platforms/scratchpads-2.10.1
erythroxylaceae.myspecies.info,erythroxylaceaem,157.140.2.164,3949.0,/var/aegir/platforms/scratchpads-2.10.1
british-earthworms.myspecies.info,britishearthworm,157.140.2.164,2199.0,/var/aegir/platforms/scratchpads-2.10.1
guaminsects.myspecies.info,guaminsectsmyspe,157.140.2.164,3369.0,/var/aegir/platforms/scratchpads-2.10.1
cannaceae.e-monocot.org,cannaceaeemono_0,157.140.2.164,2067.0,/var/aegir/platforms/scratchpads-2.10.1
britishfleas2.myspecies.info,britishfleas2mys,157.140.2.153,4739.0,/var/aegir/platforms/scratchpads-2.10.1
foraminifera.myspecies.info,foraminiferamysp,157.140.2.164,1324.0,/var/aegir/platforms/scratchpads-2.10.1
compositae.myspecies.info,compositaemyspec,157.140.2.171,3897.0,/var/aegir/platforms/scratchpads-2.10.1
mormyrids.myspecies.info,mormyridsmyspe_0,157.140.2.153,3693.0,/var/aegir/platforms/scratchpads-2.10.1
bionoset.myspecies.info,bionosetmyspecie,157.140.2.164,1828.0,/var/aegir/platforms/scratchpads-2.10.1
dipteratyoryhma.myspecies.info,dipteratyoryhmam,157.140.2.164,1900.0,/var/aegir/platforms/scratchpads-2.10.1
pwessapak.myspecies.info,pwessapakmyspe_0,157.140.2.164,1636.0,/var/aegir/platforms/scratchpads-2.10.1
cnidaria.myspecies.info,cnidariamyspecie,157.140.2.164,2395.0,/var/aegir/platforms/scratchpads-2.10.1
planktonicforaminifera.myspecies.info,planktonicfora_0,157.140.2.164,4106.0,/var/aegir/platforms/scratchpads-2.10.1
anthyllisvulneraria.myspecies.info,anthyllisvulnera,157.140.2.171,1300.0,/var/aegir/platforms/scratchpads-2.10.1
pittioni.myspecies.info,pittionimyspec_0,157.140.2.171,1544.0,/var/aegir/platforms/scratchpads-2.10.1
plantbiodiversity.myspecies.info,plantbiodivers_0,157.140.2.171,2557.0,/var/aegir/platforms/scratchpads-2.10.1
ukbap.myspecies.info,ukbapmyspecies_0,157.140.2.171,3609.0,/var/aegir/platforms/scratchpads-2.10.1
tortricidae.myspecies.info,tortricidaemys_0,157.140.2.164,27011.0,/var/aegir/platforms/scratchpads-2.10.1
dgfradecol.myspecies.info,dgfradecolmyspec,157.140.2.164,43106.0,/var/aegir/platforms/scratchpads-2.10.1
vbrant2.scratchpads.org,vbrant2scratchpa,157.140.2.153,39745.0,/var/aegir/platforms/vbrant_eu
naesiotus.myspecies.info,naesiotusmyspe_0,157.140.2.164,13425.0,/var/aegir/platforms/scratchpads-2.10.1
lacewings.myspecies.info,lacewingsmyspeci,157.140.2.153,1992.0,/var/aegir/platforms/scratchpads-2.10.1
thebeagleproject.myspecies.info,thebeagleproje_0,157.140.2.153,1952.0,/var/aegir/platforms/scratchpads-2.10.1
orthoptera.myspecies.info,orthopteramyspec,157.140.2.153,4939.0,/var/aegir/platforms/scratchpads-2.10.1
amorphophallus.myspecies.info,amorphophallusmy,157.140.2.153,4667.0,/var/aegir/platforms/scratchpads-2.10.1
wap-flora.myspecies.info,wapfloramyspecie,157.140.2.164,31047.0,/var/aegir/platforms/scratchpads-2.10.1
hypoxidaceae.e-monocot.org,hypoxidaceaeem_0,157.140.2.153,2431.0,/var/aegir/platforms/scratchpads-2.10.1
lauraceae.myspecies.info,lauraceaemyspeci,157.140.2.171,2801.0,/var/aegir/platforms/scratchpads-2.10.1
gateway.myspecies.info,gatewaymyspecies,157.140.2.153,3557.0,/var/aegir/platforms/scratchpads-2.10.1
